question,dedup_answer,answer,dataset_name,quality
A population study was conducted to evaluate coronary artery disease in the general population. A cohort of 700 patients underwent coronary angiography to evaluate the geographic distribution of coronary arteries throughout the heart. Which of the following was the most common finding in this cohort?,Right coronary artery dominance,Right coronary artery dominance,MedQA-USMLE,1
An investigator is studying the effect of chromatin structure on gene regulation. The investigator isolates a class of proteins that compact DNA by serving as spools upon which DNA winds around. These proteins are most likely rich in which of the following compounds?,Lysine and arginine,Lysine and arginine,MedQA-USMLE,1
"A 1-year-old boy is brought to the physician because of irritability and poor feeding that began 2 days ago. His mother reports that he has been crying more than usual during this period. He refused to eat his breakfast that morning and has not taken in any food or water since that time. He has not vomited. When changing the boy's diapers this morning, the mother noticed his urine had a strong smell and pink color. He has not passed urine since then. He was born at term and has been healthy. He appears ill. His temperature is 36.8°C (98.2°F), pulse is 116/min, and blood pressure is 98/54 mm Hg. The boy cries when the lower abdomen is palpated. Which of the following is the most appropriate next step in management?",Perform transurethral catheterization,Perform transurethral catheterization,MedQA-USMLE,1
An investigator is studying the mechanism regulating pigment production in the skin. She has isolated a hormone produced by the anterior and intermediate lobe of the pituitary gland that stimulates neural crest-derived cells to produce pigments through the oxidation and polymerization of the amino acid tyrosine. This hormone is most likely cosecreted with a substance that acts on which of the following receptors?,Mu receptor,Mu receptor,MedQA-USMLE,1
"A 6-year-old girl is brought to the emergency department because of right knee pain for the past 3 days. During this period, the girl has refused to walk. Her mother reports that her symptoms began after she fell down while playing. Three weeks ago, the patient had a sore throat and was treated with penicillin V. Her father has hemophilia A and has had repeated episodes of joint pain and swelling following minor injury. The patient's immunizations are up-to-date. Her temperature is 38.1°C (100.6°F), pulse is 120/min, and respirations are 21/min. The right knee joint is warm and erythematous. The girl starts to cry as soon as the physician tries to flex the knee joint. Further evaluation of this patient is likely to show which of the following findings?",Gram-positive cocci in synovial fluid,Gram-positive cocci in synovial fluid,MedQA-USMLE,1
"A 57-year-old woman presents to the emergency department for laboratory abnormalities detected by her primary care physician. The patient went to her appointment complaining of difficulty using her hands and swelling of her arms and lower extremities. The patient has notably smooth skin that seems to have not aged considerably. Upon seeing her lab values, her physician sent her to the ED. The patient has a past medical history of multiple suicide attempts, bipolar disorder, obesity, diabetes, and anxiety. Her current medications include lithium, insulin, captopril, and clonazepam. The patient's laboratory values are below.

Serum:
Na+: 140 mEq/L
K+: 5.2 mEq/L
Cl-: 100 mEq/L
HCO3-: 20 mEq/L
BUN: 39 mg/dL
Glucose: 127 mg/dL
Creatinine: 2.2 mg/dL
Ca2+: 8.4 mg/dL

The patient is restarted on her home medications. Her temperature is 99.5°F (37.5°C), pulse is 80/min, blood pressure is 155/90 mmHg, respirations are 11/min, and oxygen saturation is 97% on room air. Which of the following is the best next step in management?",Start valproic acid and discontinue lithium,Start valproic acid and discontinue lithium,MedQA-USMLE,1
"2 hours after being admitted to the hospital because of a fracture of the right ankle, a 75-year-old man continues to complain of pain despite treatment with acetaminophen and ibuprofen. He has a history of dementia and cannot recall his medical history. The presence of which of the following features would most likely be a reason to avoid treatment with morphine in this patient?",Biliary tract dysfunction,Biliary tract dysfunction,MedQA-USMLE,1
"A 28-year-old man comes to the physician for a pre-employment examination. He has no history of serious illness and takes no medications. A screening blood test is performed in which peptides are added to the sample to stimulate in vitro production of interferon-gamma, which is then measured using an enzyme-linked immunosorbent assay. This test is most likely to be helpful in diagnosing infection with which of the following pathogens?",Mycobacterium tuberculosis,Mycobacterium tuberculosis,MedQA-USMLE,1
"A 58-year-old obese male has noticed the gradual development of a soft bulge on his right groin that has been present over the past year and occasionally becomes very tender. He notices that it comes out when he coughs and strains during bowel movements. He is able to push the bulge back in without issue. After examination, you realize that he has an inguinal hernia and recommend open repair with mesh placement. After surgery, the patient returns to clinic and complains of numbness and tingling in the upper part of the scrotum and base of the penis. What nerve was most likely injured during the procedure?",Ilioinguinal nerve,Ilioinguinal nerve,MedQA-USMLE,1
"A 72-year-old woman comes to the emergency department because of a 2-week history of worsening shortness of breath, lower extremity swelling, and a 3-kg (6.6-lb) weight gain. Crackles are heard on auscultation of the chest. Cardiac examination shows a dull, low-pitched early diastolic sound at the 5th left intercostal space that becomes louder in the left lateral decubitus position at end-expiration. Which of the following is the most likely cause of these auscultation findings?",Increased left ventricular end-systolic volume,Increased left ventricular end-systolic volume,MedQA-USMLE,1
A 19-year-old woman comes to the physician because of pelvic pain and vaginal discharge that began 2 days ago. She has no history of serious medical illness and takes no medications. Her temperature is 39°C (102.2°F). Pelvic examination shows pain with movement of the cervix and mucopurulent cervical discharge. A Gram stain of the discharge does not show any organisms. A Giemsa stain shows intracytoplasmic inclusions. The patient's current condition puts her at increased risk for which of the following complications?,Ectopic pregnancy,Ectopic pregnancy,MedQA-USMLE,1
A 75-year-old woman with metastatic colon cancer comes to the physician requesting assistance in ending her life. She states: “I just can't take it anymore; the pain is unbearable. Please help me die.” Current medications include 10 mg oral hydrocodone every 12 hours. Her cancer has progressed despite chemotherapy and she is very frail. She lives alone and has no close family. Which of the following is the most appropriate initial action by the physician?,Increase her pain medication dose,Increase her pain medication dose,MedQA-USMLE,1
