question,dedup_answer,answer,answer_long,dataset_name,quality
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do body Mass Index-Dependent Ventilatory Parameters From Respiratory Inductive Plethysmography During 6-Minute Walk Test?","Answer is Yes because This respiratory monitoring method is sufficiently sensitive to point out differences between rest and exercise as well as locomotor and ventilatory differences relative to BMI during the 6MWT. Thus, this system gives useful information from the 6MWT for clinicians who want to assess respiratory patterns of patients during this commonly used test.",Yes,"Answer is Yes because This respiratory monitoring method is sufficiently sensitive to point out differences between rest and exercise as well as locomotor and ventilatory differences relative to BMI during the 6MWT. Thus, this system gives useful information from the 6MWT for clinicians who want to assess respiratory patterns of patients during this commonly used test.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does copper metabolism domain-containing 1 repress the mediators involved in the terminal effector pathways of human labour and delivery?","Answer is Yes because The conclusions are based on in vitro experiments with cells isolated from myometrium. Animal models, however, will be required to establish whether COMMD1 activators can prevent spontaneous preterm birth in vivo.",Yes,"Answer is Yes because The conclusions are based on in vitro experiments with cells isolated from myometrium. Animal models, however, will be required to establish whether COMMD1 activators can prevent spontaneous preterm birth in vivo.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do impact of the implementation of an alcohol withdrawal guideline on patients with burn injuries?",Answer is Yes because Screening and treatment of alcohol abuse in the burn patient are still less than ideal.,Yes,Answer is Yes because Screening and treatment of alcohol abuse in the burn patient are still less than ideal.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Are intra-arterial allogeneic mesenchymal stem cells for critical limb ischemia safe and efficacious : report of a phase I study?",Answer is Yes because It was concluded that intra-arterial MSCs could be safely administered to patients with CLI and was associated with significant therapeutic benefits.,Yes,Answer is Yes because It was concluded that intra-arterial MSCs could be safely administered to patients with CLI and was associated with significant therapeutic benefits.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is the decrease of fibrinogen an early predictor of the severity of postpartum hemorrhage?",Answer is Yes because These findings indicate that a simple fibrinogen measurement can anticipate the risk of severe bleeding in PPH.,Yes,Answer is Yes because These findings indicate that a simple fibrinogen measurement can anticipate the risk of severe bleeding in PPH.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is faster increase in body mass index between ages 8 and 13 associated with risk factors for cardiovascular morbidity and mortality?",Answer is Yes because Faster increase in BMI from ages 8-13 years was associated with an increased CVD mortality risk. Children with early growth spurts coupled with excess weight gain during this transition period from childhood into adolescence should be closely monitored to ensure better health in adulthood.,Yes,Answer is Yes because Faster increase in BMI from ages 8-13 years was associated with an increased CVD mortality risk. Children with early growth spurts coupled with excess weight gain during this transition period from childhood into adolescence should be closely monitored to ensure better health in adulthood.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do plasma N-terminal fragments of natriuretic propeptides predict the risk of cardiovascular events and mortality in middle-aged men?",Answer is Yes because The main finding of the present study is that NT-proANP and NT-proBNP are strong predictors of death from cardiovascular and other causes including AF. These natriuretic peptides add to the prognostic value of conventional risk factors and provide a non-invasive measure for identifying men with high risk of death and its co-morbidities.,Yes,Answer is Yes because The main finding of the present study is that NT-proANP and NT-proBNP are strong predictors of death from cardiovascular and other causes including AF. These natriuretic peptides add to the prognostic value of conventional risk factors and provide a non-invasive measure for identifying men with high risk of death and its co-morbidities.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does cDK5 regulate cell-cell and cell-matrix adhesion in human keratinocytes?","Answer is Yes because CDK5/p35 may be involved in cell-cell and cell-matrix adhesion in human keratinocytes by differently regulating cadherins and integrins. Furthermore, reduced expression of CDK5/p35 in the epidermis might be involved in the pathogenesis of psoriasis.",Yes,"Answer is Yes because CDK5/p35 may be involved in cell-cell and cell-matrix adhesion in human keratinocytes by differently regulating cadherins and integrins. Furthermore, reduced expression of CDK5/p35 in the epidermis might be involved in the pathogenesis of psoriasis.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does urinary albumin excretion within the normal range predict the development of diabetes in Korean men?","Answer is Yes because Elevated UACR, even within the normal range, could predict the future development of diabetes.",Yes,"Answer is Yes because Elevated UACR, even within the normal range, could predict the future development of diabetes.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Are serum levels of adiponectin associated with diabetic retinopathy and with adiponectin gene mutations in Caucasian patients with diabetes mellitus type 2?","Answer is Yes because Adiponectin gene polymorphisms influence adiponectin serum levels and elevated adiponectin serum levels are associated with diabetic retinopathy in patients with diabetes mellitus type 2. Therefore, endothelial cell modulating adiponectin should be further investigated as a candidate gene in the development and progression of retinopathy associated with type 2 diabetes mellitus.",Yes,"Answer is Yes because Adiponectin gene polymorphisms influence adiponectin serum levels and elevated adiponectin serum levels are associated with diabetic retinopathy in patients with diabetes mellitus type 2. Therefore, endothelial cell modulating adiponectin should be further investigated as a candidate gene in the development and progression of retinopathy associated with type 2 diabetes mellitus.",PubMedQA,1
